Column2,Column3
0.000799967,86570
0.002657426,117731.8495
0.00311059,127748.1583
0.00354003,137764.4671
0.003960328,147780.7759
0.004375246,157797.0847
0.0047872,167813.3935
0.005202693,177829.7022
0.005631839,187846.011
0.006081507,197862.3198
0.009883357,260304.4261
0.013685206,285073.3018
0.017487055,293652.6889
0.021288904,297889.9019
0.025090754,300837.5888
0.028892603,304693.5575
0.032694452,306952.8828
0.036496301,308353.6692
0.040298151,309025.7831
0.0441,309154.6396
0.04689,308994.712
0.04968,308696.2756
0.05247,308271.9231
0.05526,307771.1678
0.05805,307192.1982
0.06084,306503.9223
0.06363,305658.0891
0.06642,304870.0311
0.06921,304132.5128
0.072,303370.7258
0.07479,302528.6838
0.07758,301638.288
0.08037,300857.832
0.08316,300208.3415
0.08595,299485.4482
0.08874,298660.6026
0.09153,297814.8956
0.09432,297098.5055
0.09711,296469.9701
0.0998,295844.0626
